Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2020-07-05 20:00:00,225.18,228.24,223.22,227.56,94654.88349,2020-07-05 23:59:59.999000 ,21429040.3945781,33872.0,49815.71365,11281382.084982,0.0
2020-07-06 00:00:00,227.54,228.8,226.93,227.86,60464.14001,2020-07-06 03:59:59.999000 ,13780480.3980581,23249.0,30098.73607,6860361.1764086,0.0
2020-07-06 04:00:00,227.88,234.15,227.67,232.8,212981.75768,2020-07-06 07:59:59.999000 ,49297224.2146289,57562.0,106772.26483,24710410.925686,0.0
2020-07-06 08:00:00,232.82,235.93,232.45,235.69,126348.10194,2020-07-06 11:59:59.999000 ,29540426.7762314,39948.0,65171.40687,15238631.5832862,0.0
2020-07-06 12:00:00,235.69,238.86,234.59,238.79,203618.9697,2020-07-06 15:59:59.999000 ,48154022.8601124,61871.0,101187.04841,23935661.670615,0.0
2020-07-06 16:00:00,238.78,240.77,237.87,238.42,140061.41046,2020-07-06 19:59:59.999000 ,33496582.3953186,45850.0,69781.61008,16692592.7477141,0.0
2020-07-06 20:00:00,238.39,242.0,237.29,241.6,121343.12721,2020-07-06 23:59:59.999000 ,29065991.2057901,39707.0,70648.93141,16925721.9531643,0.0
2020-07-07 00:00:00,241.6,243.77,237.86,239.25,134063.56335,2020-07-07 03:59:59.999000 ,32240738.2552639,46683.0,68603.80721,16501516.7119502,0.0
2020-07-07 04:00:00,239.25,239.57,235.93,237.04,99200.33978,2020-07-07 07:59:59.999000 ,23565104.0075082,36431.0,44761.64931,10633669.7522358,0.0
2020-07-07 08:00:00,237.03,237.99,234.4,237.55,94969.32426,2020-07-07 11:59:59.999000 ,22462650.6548385,31967.0,44034.26827,10417801.3310808,0.0
2020-07-07 12:00:00,237.58,239.61,236.45,238.82,128061.10717,2020-07-07 15:59:59.999000 ,30469373.570315,40463.0,61348.6121,14597138.2048426,0.0
2020-07-07 16:00:00,238.81,240.24,237.66,237.98,72236.34424,2020-07-07 19:59:59.999000 ,17259152.8526026,28748.0,36399.5232,8697855.0693593,0.0
2020-07-07 20:00:00,237.98,239.86,236.58,239.39,71894.29329,2020-07-07 23:59:59.999000 ,17125809.0345906,29297.0,38375.62718,9144142.8667559,0.0
2020-07-08 00:00:00,239.39,242.28,237.78,241.9,146602.47484,2020-07-08 03:59:59.999000 ,35243677.6890405,47575.0,68258.02848,16411125.9576453,0.0
2020-07-08 04:00:00,241.91,242.66,238.23,240.76,136165.81397,2020-07-08 07:59:59.999000 ,32703082.5258389,47785.0,67785.75997,16275781.8006668,0.0
2020-07-08 08:00:00,240.76,244.6,240.11,244.07,161696.3106,2020-07-08 11:59:59.999000 ,39183855.5992721,53303.0,84766.00081,20541594.1633965,0.0
2020-07-08 12:00:00,244.07,247.63,241.28,245.73,247969.66625,2020-07-08 15:59:59.999000 ,60698663.1396012,73988.0,124234.07618,30418716.1937845,0.0
2020-07-08 16:00:00,245.73,248.8,245.0,248.56,139652.82744,2020-07-08 19:59:59.999000 ,34464361.9663104,43845.0,72648.7768,17933236.9941072,0.0
2020-07-08 20:00:00,248.6,248.88,245.69,246.95,126098.74398,2020-07-08 23:59:59.999000 ,31167059.8351183,43086.0,55086.67749,13616684.6219987,0.0
2020-07-09 00:00:00,246.94,247.03,243.0,244.68,99480.74842,2020-07-09 03:59:59.999000 ,24369077.2395082,41282.0,45730.10867,11202663.9317978,0.0
2020-07-09 04:00:00,244.65,247.9,244.37,246.71,93132.46454,2020-07-09 07:59:59.999000 ,22927176.366418,34258.0,48023.5274,11824517.167775,0.0
2020-07-09 08:00:00,246.7,246.79,244.39,246.53,78828.02931,2020-07-09 11:59:59.999000 ,19381059.5661475,31350.0,39764.03421,9778000.4658594,0.0
2020-07-09 12:00:00,246.54,247.6,237.88,239.87,226993.0883,2020-07-09 15:59:59.999000 ,54986913.5139453,76176.0,107861.84479,26132091.9538475,0.0
2020-07-09 16:00:00,239.86,240.94,238.28,239.98,91947.08444,2020-07-09 19:59:59.999000 ,22060035.0088329,36336.0,42203.80001,10127602.4582023,0.0
2020-07-09 20:00:00,239.98,242.2,239.43,241.98,57260.1679,2020-07-09 23:59:59.999000 ,13817108.3099663,24178.0,30415.96061,7339519.966476,0.0
2020-07-10 00:00:00,241.97,242.16,239.9,240.52,60542.53849,2020-07-10 03:59:59.999000 ,14582450.2471884,26033.0,27647.27073,6660277.5126745,0.0
2020-07-10 04:00:00,240.53,240.59,235.72,238.02,140039.47545,2020-07-10 07:59:59.999000 ,33302640.9811603,44741.0,72069.83481,17138879.0933334,0.0
2020-07-10 08:00:00,238.04,240.35,237.89,238.01,72787.43513,2020-07-10 11:59:59.999000 ,17391935.1678677,31880.0,40097.30436,9582138.8409569,0.0
2020-07-10 12:00:00,237.97,240.79,237.97,240.62,76479.81174,2020-07-10 15:59:59.999000 ,18309505.5734377,30288.0,41483.19902,9929807.4811385,0.0
2020-07-10 16:00:00,240.61,240.79,238.44,239.53,52693.78527,2020-07-10 19:59:59.999000 ,12612690.1990315,24778.0,26298.50916,6294135.9638171,0.0
2020-07-10 20:00:00,239.51,241.6,238.59,241.26,52482.07777,2020-07-10 23:59:59.999000 ,12607240.2964109,23404.0,26490.85155,6364150.0264668,0.0
2020-07-11 00:00:00,241.27,241.67,240.21,240.54,59520.90761,2020-07-11 03:59:59.999000 ,14344076.3899642,24973.0,27857.50894,6714379.4642138,0.0
2020-07-11 04:00:00,240.52,240.92,239.54,240.46,40773.73329,2020-07-11 07:59:59.999000 ,9795173.4979813,21000.0,19936.053,4789825.2545181,0.0
2020-07-11 08:00:00,240.47,240.61,237.54,238.5,68475.03428,2020-07-11 11:59:59.999000 ,16363699.0360526,30568.0,32885.78681,7859230.6502178,0.0
2020-07-11 12:00:00,238.49,240.29,238.25,239.57,48376.47966,2020-07-11 15:59:59.999000 ,11570137.549448,23515.0,25576.05291,6116692.4148357,0.0
2020-07-11 16:00:00,239.56,240.4,237.58,237.9,45000.47119,2020-07-11 19:59:59.999000 ,10750675.2704204,23750.0,20823.24646,4976883.7269061,0.0
2020-07-11 20:00:00,237.91,239.81,237.9,239.19,32329.38023,2020-07-11 23:59:59.999000 ,7724795.9339726,16459.0,17186.10982,4106844.2639329,0.0
2020-07-12 00:00:00,239.19,241.36,239.0,240.81,57970.70737,2020-07-12 03:59:59.999000 ,13938358.1126381,25902.0,31883.17432,7666841.0239671,0.0
2020-07-12 04:00:00,240.82,241.45,240.13,240.45,40660.96042,2020-07-12 07:59:59.999000 ,9791173.2621816,19488.0,18795.1014,4525541.9803079,0.0
2020-07-12 08:00:00,240.44,240.89,239.3,239.55,45426.82391,2020-07-12 11:59:59.999000 ,10907940.8207779,22927.0,20977.67118,5037265.3568256,0.0
2020-07-12 12:00:00,239.54,244.0,236.52,237.7,184291.24348,2020-07-12 15:59:59.999000 ,44091513.377315,68796.0,92532.46208,22151468.9084417,0.0
2020-07-12 16:00:00,237.7,238.9,236.85,238.54,55919.42943,2020-07-12 19:59:59.999000 ,13310928.6998996,26897.0,28373.13006,6755893.639699,0.0
2020-07-12 20:00:00,238.54,243.09,238.28,242.79,85045.95259,2020-07-12 23:59:59.999000 ,20447638.1612002,37719.0,46158.62541,11096181.515245,0.0
2020-07-13 00:00:00,242.76,243.55,241.31,241.68,94016.56083,2020-07-13 03:59:59.999000 ,22758312.7618587,39050.0,44956.07278,10883295.6003007,0.0
2020-07-13 04:00:00,241.69,243.17,241.43,242.77,75311.79686,2020-07-13 07:59:59.999000 ,18254625.6703797,31334.0,42572.47362,10319140.0125445,0.0
2020-07-13 08:00:00,242.76,245.17,242.75,244.62,125989.17627,2020-07-13 11:59:59.999000 ,30711578.6513182,49441.0,70756.34483,17250107.5302118,0.0
2020-07-13 12:00:00,244.62,245.33,242.0,242.7,95662.75763,2020-07-13 15:59:59.999000 ,23329078.6622711,38667.0,46829.56458,11422119.6381558,0.0
2020-07-13 16:00:00,242.7,243.72,237.33,238.42,146326.39879,2020-07-13 19:59:59.999000 ,35164371.0951169,49450.0,67715.26751,16269067.4632439,0.0
2020-07-13 20:00:00,238.41,240.14,237.81,239.5,66786.35207,2020-07-13 23:59:59.999000 ,15975325.0697315,32090.0,31847.52576,7617434.7116831,0.0
2020-07-14 00:00:00,239.5,240.15,238.35,238.66,64611.68618,2020-07-14 03:59:59.999000 ,15457883.0940189,26094.0,30563.24149,7313700.3933074,0.0
2020-07-14 04:00:00,238.67,238.88,237.0,238.4,84904.09428,2020-07-14 07:59:59.999000 ,20201561.917903,30953.0,40925.60221,9739363.3381566,0.0
2020-07-14 08:00:00,238.39,240.71,237.75,240.61,82005.54134,2020-07-14 11:59:59.999000 ,19609148.4877872,31321.0,44903.40859,10738035.9421849,0.0
2020-07-14 12:00:00,240.56,241.33,238.48,240.23,79464.99816,2020-07-14 15:59:59.999000 ,19052358.5697768,33801.0,41050.00418,9842008.8082846,0.0
2020-07-14 16:00:00,240.21,241.66,239.47,241.46,70170.9901,2020-07-14 19:59:59.999000 ,16896283.46842,29491.0,32232.31287,7760548.8646825,0.0
